Pos, 0.0 
PasTotPrgDist, 0.0 
PasLonAtt, 0.0 
PaswOther, 0.0 
Clr, 0.0 
TouDefPen, 0.0 
TouDef3rd, 0.0 
TouMid3rd, 0.0 
Rec%, 0.0 
RecProg, 0.0 
PresAtt3rd, 5.79811185495e-312 
Press, 1.93076482727698e-309 
PasMedAtt, 7.92422156130841e-300 
PresMid3rd, 7.370127984208143e-289 
PasMedCmp, 7.139064901418258e-277 
PasDead, 4.387975758099751e-267 
CarMis, 1.4715751567518957e-265 
TouAttPen, 2.0030119287124227e-262 
TI, 4.3596412961588016e-254 
PasTotDist, 4.823524287367044e-249 
PasLonCmp, 4.6671542997006886e-247 
TouAtt3rd, 2.060283633817049e-240 
PasHigh, 2.303469876208315e-235 
Tkl+Int, 1.267252106689803e-234 
AerWon%, 6.4326873489364326e-226 
Shots, 3.712068486535733e-203 
PasTotCmp, 9.464930493386715e-203 
PasCmp, 9.464930493386715e-203 
PasTotAtt, 1.2292413801070223e-197 
PasAtt, 1.2292413801070223e-197 
TklDri%, 9.240466997566552e-197 
TouLive, 3.0499534966679453e-191 
PasLive, 4.659340263324173e-191 
Int, 2.935715119191385e-188 
Recov, 1.735671699656576e-180 
ShoDist, 1.2530562852552387e-178 
CarDis, 2.747697121591164e-178 
Touches, 1.844379958938487e-175 
PresDef3rd, 5.520663621333417e-175 
PresSucc, 3.5458288906464227e-174 
PasFK, 5.325958644408249e-173 
PasGround, 2.8976738420661447e-159 
DriAtt, 2.7581209128995407e-147 
RecTarg, 9.756463680171486e-136 
PasLow, 1.2259115673880424e-132 
PasProg, 2.1164229761026746e-132 
Tkl, 4.4991841925104864e-131 
PasShoAtt, 4.527899254054336e-130 
TklDef3rd, 3.792550764916321e-129 
Pas3rd, 8.358931291187548e-128 
PasMedCmp%, 1.899198569566562e-119 
Carries, 3.12099328340361e-119 
PasShoCmp, 1.2224219048791026e-118 
BlkSh, 1.2996144131568204e-114 
PaswHead, 5.962412876264986e-114 
TklDriAtt, 9.845451425124333e-114 
Goals, 6.248667560936919e-113 
CPA, 9.075234767076716e-113 
CarProg, 4.1640007412227354e-110 
PasPress, 2.0855451664487132e-109 
SCA, 1.046169208194936e-107 
Rec, 5.198492180053833e-105 
Off, 4.0633878857063133e-104 
AerLost, 1.9029982787173093e-103 
Blocks, 3.9060280489134654e-100 
CarTotDist, 5.567899255882383e-96 
Fld, 3.0330177287725867e-94 
TklWon, 1.430379227415968e-93 
TklW, 1.430379227415968e-93 
DriPast, 3.4975687757297013e-91 
Press%, 1.5275742587864775e-90 
DriSucc, 2.4820891200850334e-83 
Car3rd, 5.132285296511838e-82 
SoT, 2.095139030796916e-80 
SoT%, 4.297545821868852e-79 
PasAss, 1.5735806050148424e-77 
ScaPassLive, 9.878623278772155e-77 
TklDri, 1.337525518779962e-74 
TklDriPast, 1.234394012868501e-73 
CarPrgDist, 1.7747697140215166e-72 
PaswRight, 1.7845210005629553e-72 
PasCrs, 5.216574203217697e-72 
Crs, 5.216574203217697e-72 
Fls, 6.021350599682211e-69 
AerWon, 5.8997226124036845e-65 
TklMid3rd, 5.934586259871283e-64 
DriSucc%, 1.5255386456608e-63 
PasTotCmp%, 5.630893788821393e-63 
BlkPass, 1.3235786952880382e-59 
PasShoCmp%, 3.4321868286430454e-58 
Sw, 3.277058733825022e-53 
CK, 1.3530950701391464e-51 
PasBlocks, 2.016525188946637e-51 
PPA, 2.0578569559985495e-46 
CkIn, 8.931302876684271e-44 
CkOut, 6.131183181743431e-41 
PasInt, 6.140955341861113e-37 
PKatt, 8.122656195273774e-37 
PaswLeft, 9.524601004180995e-37 
ShoPK, 1.2120945471546956e-35 
G/Sh, 7.084137793888721e-30 
G/SoT, 5.173929911807198e-29 
ScaPassDead, 6.3631530712170195e-27 
ScaFld, 3.4557309474415535e-26 
ScaSh, 5.192762068964326e-25 
PasLonCmp%, 1.525097169200928e-23 
ScaDrib, 4.1117703213837358e-22 
GcaSh, 8.771368058072166e-22 
TklAtt3rd, 1.2723795106779243e-21 
Starts, 8.906544857689861e-19 
CkStr, 3.736262630847219e-18 
Min, 4.2697875588163476e-18 
90s, 4.286236213929512e-18 
PasOut, 9.773582020358012e-16 
DriMegs, 1.1387549660100627e-15 
CrsPA, 1.7226135686330133e-13 
GCA, 4.2213221881786774e-13 
BlkShSv, 4.069918033841695e-12 
